# t (s)	mx ()	my ()	mz ()
3.2504777067794133e-10	0.0659712	0.16717404	0.82921344
3.261486894334823e-10	0.056586474	0.16363677	0.83123815
3.27066828777656e-10	0.04941773	0.16027829	0.8328621
3.2816781866930625e-10	0.041698128	0.15590732	0.8347437
3.29084485477137e-10	0.036057845	0.15209118	0.8362651
3.3000069892556943e-10	0.031167656	0.14821951	0.8377556
3.311001314004492e-10	0.02629668	0.14363761	0.8395209
3.320165011981355e-10	0.023058353	0.13998093	0.8409833
3.3311678516981887e-10	0.020126509	0.13590415	0.84273547
3.340338343242411e-10	0.01843723	0.13284352	0.84419084
3.351336477642779e-10	0.01722572	0.12966074	0.84591824
3.360495715436573e-10	0.01679601	0.12747563	0.84732664
3.371476753141781e-10	0.01682853	0.12547645	0.8489552
3.3806162346978976e-10	0.017195756	0.12436825	0.8502379
3.3915701105060164e-10	0.017901586	0.12374144	0.8516537
3.400687794343037e-10	0.018599581	0.12381191	0.8527014
3.41161882637256e-10	0.019425709	0.12458877	0.85376406
3.420721571234879e-10	0.019994128	0.12578121	0.85446393
3.431638807113524e-10	0.020397797	0.12781382	0.85506135
3.4407316315947265e-10	0.020402286	0.12996048	0.85534596
3.451641988844197e-10	0.01989302	0.13301177	0.85542125
3.4607373093693843e-10	0.018960131	0.13589753	0.85526186
3.471659045240949e-10	0.017144643	0.13970329	0.8548156
3.4807683824487343e-10	0.014997243	0.14309707	0.85424685
3.4917101256214733e-10	0.0116086155	0.14733633	0.85335124
3.500829510764262e-10	0.008086845	0.15092075	0.8524483
3.511769733126089e-10	0.0030108872	0.15518296	0.85120547
3.520874010887836e-10	-0.0019216916	0.15862921	0.8500607
3.5317824432684575e-10	-0.008665159	0.16255572	0.8485845
3.5408624018158694e-10	-0.014946945	0.16559045	0.84728575
3.551751773532379e-10	-0.023234341	0.16886468	0.8456597
3.5608252036264816e-10	-0.030719452	0.17122474	0.8442562
3.571720779393913e-10	-0.04033153	0.17354599	0.8425174
3.580811346631009e-10	-0.048807964	0.17500858	0.8410211
3.5917377261320894e-10	-0.05945653	0.17614387	0.8391633
3.6008590792456546e-10	-0.06865631	0.17653133	0.8375575
3.611823385132661e-10	-0.079989456	0.17627387	0.8355523
3.620967316931139e-10	-0.089587435	0.17542596	0.8338105
3.6301113599822224e-10	-0.099235564	0.17399007	0.8320013
3.641079608571723e-10	-0.11074823	0.17149629	0.82974136
3.650214303874314e-10	-0.120163985	0.16879322	0.82778734
3.6611720439492346e-10	-0.13107342	0.16483682	0.82536584
3.670300443514911e-10	-0.139691	0.16098838	0.82329315
3.681248470573043e-10	-0.14928122	0.15577129	0.82075435
3.690365925305035e-10	-0.15652597	0.15097022	0.81860614
3.7012990611813104e-10	-0.16419427	0.14472094	0.8159988
3.7104037268535923e-10	-0.16964093	0.1391617	0.8138057
3.7213228344195153e-10	-0.17494208	0.13216694	0.8111543
3.730418584642303e-10	-0.17826368	0.12616533	0.808932
3.741331276915354e-10	-0.18087225	0.11889145	0.8062551
3.75042635687936e-10	-0.18187247	0.11287245	0.8040183
3.7613434771679567e-10	-0.18166564	0.105829	0.8013266
3.770445008337712e-10	-0.18035127	0.10020871	0.7990725
3.7813740018065066e-10	-0.17747818	0.0938861	0.79634535
3.7904872439780833e-10	-0.1740902	0.08905822	0.7940482
3.801427849847076e-10	-0.16897377	0.0838932	0.7912577
3.810546733106631e-10	-0.16396351	0.0801769	0.7889037
3.821488809057307e-10	-0.15723605	0.076491214	0.78604823
3.830605762527848e-10	-0.15118414	0.074110664	0.78364825
3.8415427714193956e-10	-0.14358887	0.07213028	0.7807556
3.850655403905645e-10	-0.13714477	0.071232334	0.77834684
3.8615924064176696e-10	-0.12947932	0.07106468	0.7754766
3.8707102472453263e-10	-0.12330127	0.07167883	0.7731142
3.8816584881798376e-10	-0.11632243	0.07330902	0.77032775
3.890788757921118e-10	-0.11100469	0.07539273	0.7680544
3.9017557565204577e-10	-0.10538206	0.07871651	0.7653924
3.910904625879515e-10	-0.10144331	0.08211731	0.76323134
3.920062051667515e-10	-0.09827501	0.086027905	0.7611214
3.9310624842334375e-10	-0.09559517	0.0912883	0.7586501
3.940238757265699e-10	-0.09437439	0.096037336	0.7566338
3.951258976194451e-10	-0.09420351	0.10201619	0.75425357
3.9604471413815894e-10	-0.095177986	0.10710307	0.7522911
3.9714765894770005e-10	-0.09770299	0.113175005	0.7499436
3.98066851028108e-10	-0.10092431	0.118086666	0.7479803
3.991696884936537e-10	-0.106083386	0.12364495	0.7456007
4.0008844967182533e-10	-0.111395724	0.1278725	0.74358803
4.010067552360914e-10	-0.11754144	0.13162613	0.7415405
4.021072167027839e-10	-0.12585768	0.13538802	0.7390307
4.030220716774642e-10	-0.13341266	0.13783285	0.7368902
4.0411742597949574e-10	-0.14301404	0.13988122	0.7342529
4.050282088420828e-10	-0.15128373	0.14082038	0.731991
